pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      164    0.000    0.000    0.000    0.000 __init__.py:3102(_find_adapter)
       72    0.000    0.000    0.001    0.000 dsp.py:2461(project_polyline)
     93/3    0.000    0.000    0.183    0.061 <frozen importlib._bootstrap_external>:722(exec_module)
     1032    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      264    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      428    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
  142/138    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      358    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.026    0.026 __init__.py:25(<module>)
       93    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       72    0.000    0.000    0.001    0.000 dsp.py:2345(project_line)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     1992    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      369    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       72    0.000    0.000    0.000    0.000 r.py:328(_handle_music)
      144    0.000    0.000    0.001    0.000 __init__.py:2270(file_ns_handler)
    102/2    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
      284    0.000    0.000    0.000    0.000 dsp.py:3878(move_x)
   101/75    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      136    0.000    0.000    0.007    0.000 __init__.py:2258(fixup_namespace_packages)
      128    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
     1728    0.000    0.000    0.000    0.000 {built-in method builtins.hex}
       18    0.000    0.000    0.000    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
       77    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      346    0.000    0.000    0.000    0.000 typing.py:701(__setattr__)
       72    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.get_busy}
      159    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      310    0.000    0.000    0.001    0.000 re.py:185(sub)
     1494    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
       72    0.000    0.000    0.001    0.000 r.py:360(_get_line_sprite)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
